dataset,backbone,h,L,val_mse
jeju_wind,linmix,24,336,0.433321
jeju_wind,mlpmix,24,336,0.462365
jeju_wind,linmix,48,336,0.476248
jeju_wind,mlpmix,48,336,0.505266
gefcom_wind,linmix,24,192,0.190152
gefcom_wind,mlpmix,24,192,0.201838
gefcom_wind,linmix,96,336,0.230638
gefcom_wind,mlpmix,96,336,0.251723
gefcom_wind,linmix,336,336,0.235925
gefcom_wind,mlpmix,336,192,0.275348
gefcom_load,linmix,24,192,0.164805
gefcom_load,mlpmix,24,96,0.054321
gefcom_load,linmix,96,192,0.328706
gefcom_load,mlpmix,96,192,0.085489
gefcom_load,linmix,336,192,0.485591
gefcom_load,mlpmix,336,96,0.135422
gefcom_solar,linmix,24,192,0.141824
gefcom_solar,mlpmix,24,192,0.090354
gefcom_solar,linmix,96,96,0.137772
gefcom_solar,mlpmix,96,96,0.098537
gefcom_solar,linmix,24,192,0.141824
gefcom_solar,mlpmix,24,192,0.087249
gefcom_solar,linmix,96,96,0.137772
gefcom_solar,mlpmix,96,96,0.094383
gefcom_solar,linmix,336,96,0.176347
gefcom_solar,mlpmix,336,192,0.126105
gefcom_solar,linmix,336,96,0.176347
gefcom_solar,mlpmix,336,192,0.118144
